yManuf,yHlth,Intercept,Mkt.RF,SMB,HML,RMW,CMA,MOM
0.038711255,0.025176891,1,0.037041512,0.010223497,-0.004604966,-0.002302074,-0.009272714,-0.025970796
0.033411653,0.003561275,1,0.025893626,0.032977705,-0.011665063,0.002469283,-0.006404762,-0.013546261
0.012989296,0.003455898,1,0.005977882,-0.011969071,0.001064843,-0.009795053,-0.000608811,-0.024850313
-0.053492678,0.013310405,1,-0.027038445,0.000848109,-0.010707935,0.002988048,0.001088316,0.06142487
-0.01322949,0.016858342,1,-0.000651101,0.009015112,-0.006011613,-0.005824303,0.001663883,0.01840654
-0.023134885,-0.025089782,1,-0.022934229,-0.001380384,-0.006941018,0.00580511,0.005584568,0.011710326
-0.027599554,-0.009142456,1,-0.021567008,-0.012244217,-0.015084907,0.006046394,-0.006399561,0.035009096
0.076737397,0.034494758,1,0.070485939,0.007376825,0.037300934,-0.000902641,0.011235588,-0.030731539
0.05724749,0.054882123,1,0.043876252,0.014422999,0.011458388,0.002260221,0.016893912,-0.040497537
-0.001078197,-0.00087921,1,0.009249029,0.008011492,0.025342242,-0.016703697,0.004798477,-0.0287817
0.011818455,-0.006025934,1,0.024737998,0.001037768,0.056022501,-0.019928925,0.012050604,-0.063771
-0.004995723,0.002109861,1,-0.006211032,-0.00509133,0.004661765,-0.001466127,0.000796358,-0.011646844
0.025916076,0.027926367,1,0.021620729,0.010923062,0.007127097,0.001177103,0.004804264,-0.007311884
-0.002374147,0.000104575,1,0.001893733,-0.000311358,0.015870033,-0.006412747,0.014677195,-0.015539485
-0.015342023,-0.004790987,1,-0.010844425,-0.002219239,-0.020207451,0.007359718,-0.001115799,0.012741261
0.038442378,0.013222558,1,0.027843423,0.017592272,0.01656732,0.00308898,0.003503591,-0.027518553
0.035162927,0.007879407,1,0.025872291,0.014670852,0.02017193,-0.007494981,0.00129192,-0.033586688
-0.028066454,-0.008341396,1,-0.023083305,-0.007507974,-0.018895631,0.004992251,-0.003203085,0.011394467
-0.02572151,-0.008967977,1,-0.018851187,-0.011501438,-0.007747167,0.009806641,-0.001208178,0.011220506
0.058898659,0.026042,1,0.047313235,0.014965698,0.027683677,0.003651038,0.001491791,-0.00171309
0.027471713,0.010988703,1,0.01389896,-0.007192345,-0.004849645,0.011780275,-0.001715187,0.002094539
-0.007002794,-0.023156061,1,-0.008699672,-0.016234655,-0.013903052,0.015149645,-0.010608522,0.00468621
-0.048921995,-0.030747551,1,-0.044633563,-0.028761711,-0.03576731,0.008275057,-0.003107739,-0.023121893
0.035922125,0.037043836,1,0.033613715,0.001057111,0.000925514,0.00600106,0.003193014,0.018916947
0.014900413,0.019533376,1,0.021194057,-0.014092374,0.008106965,0.003156238,0.005104844,0.012732572
-0.004013249,0.016378416,1,-0.001920322,-0.001830666,-0.004529653,-0.0008085,-0.000410543,-0.017323183
0.004155574,0.010713168,1,-0.00084799,-0.008901057,-0.011671897,0.007418628,-0.004195631,-0.00671033
0.009153808,0.013389117,1,0.015774791,0.026639113,0.005947001,-0.005139,0.005399917,0.002076172
0.002972782,0.001316638,1,0.001225487,-0.001365961,-0.000215759,0.009718839,0.001491971,-0.001726021
0.001309448,-0.002514378,1,-3.84E-05,0.018422016,0.003748961,-0.004040535,-0.017490502,0.015130634
0.023594509,0.017792852,1,0.023490324,0.016475576,0.000284961,0.002792738,0.004096827,0.016897565
-0.01407341,-0.007541799,1,-0.009999723,-0.003497099,-0.001408854,-0.00559664,0.002197644,-0.00589179
0.039552752,0.016108559,1,0.028848003,0.008187864,0.038325355,-0.006706988,0.00429369,0.006840686
-0.012160563,0.013739674,1,-0.009111407,-0.001816215,-0.015185802,0.004575851,0.004994264,-0.019416737
-0.042457327,-0.01899405,1,-0.035853972,0.004375996,-0.018825149,-0.002525914,-0.005397077,-0.029444011
-0.023970242,-0.010610566,1,-0.017002305,-0.007789939,0.000562115,-0.009314123,0.002299899,-0.015099315
-0.00812032,-0.014952526,1,-0.008055508,-0.008078798,-0.000541628,0.000269466,0.010506011,0.005280822
0.017319296,0.006858827,1,0.014216001,0.022266246,0.007298033,-0.001619347,0.006304515,0.025117035
0.037904684,0.021241969,1,0.031705872,0.002299717,0.016267019,0.003095202,-0.001100719,0.007990327
-0.014338916,-0.009151479,1,-0.003616686,-0.002513594,0.008449735,-0.00611399,-0.00199908,0.005023802
0.036941009,0.025548542,1,0.034496617,0.026539317,0.011947181,-0.001202228,0.012654487,0.026428876
0.005502549,0.001880322,1,0.011742957,0.004605449,0.004578743,-0.004219359,0.004805229,0.010536076
-0.003710937,0.010423469,1,0.006051973,-0.012651033,-0.007245807,-0.001003168,-0.002510845,-0.022892843
-0.00381913,-0.006406164,1,0.006646175,0.001532278,0.012427689,-0.004698701,0.003203251,0.023482149
0.025036573,0.010789405,1,0.010199769,-0.001312008,0.006879276,0.005902733,0.001290719,0.005491767
0.014713888,-0.003364856,1,0.016347501,0.013110126,0.021973341,-0.004106695,0.008019816,0.01179978
-0.002785455,-0.005864696,1,0.001002509,0.024922097,-0.004856987,0.002083499,0.003986123,0.003430588
0.033930764,-0.011369963,1,0.02186174,0.01812797,0.017505719,0.000489275,0.002397121,0.01673797
-0.025290261,-0.007614314,1,-0.026095126,-0.007669345,-0.014477562,0.008780171,-0.001255897,-0.011132859
-0.073800738,-0.04778784,1,-0.067829232,-0.024577084,-0.022861909,0.008403217,-0.007697776,-0.027515329
0.030060489,0.009920102,1,0.027929918,0.036517914,0.001396594,0.000677823,-0.000309101,0.023546469
-0.05092617,-0.044100022,1,-0.044806567,-0.024694703,-0.010993183,0.001338315,-0.001710315,-0.018785198
0.005989782,8.48E-05,1,0.00629019,0.015633163,0.009533343,-0.001145547,0.009214445,0.03021631
-0.030746593,-0.015610646,1,-0.02430651,-0.017048498,-0.021036305,9.20E-05,-0.007780603,-0.010261207
0.039214554,0.021060522,1,0.024583851,-0.004637008,-0.001298123,0.008709552,0.002268393,0.003845507
0.028898949,0.02049179,1,0.024007525,0.003477397,0.003747292,-0.004001102,-0.001908311,0.010425535
-0.04430594,-0.016093149,1,-0.035262006,0.001400372,-0.004113709,-0.014168894,-0.006091393,-0.006830389
-0.050773774,-0.032662857,1,-0.052572352,-0.015817079,-0.031719328,0.013060165,-0.004002217,-0.03413057
0.060323006,0.035081106,1,0.053923847,-0.007006023,0.011234891,-0.012467958,0.010289237,0.018526349
-0.015913065,-0.016641926,1,-0.013601289,-0.012377102,-0.010936762,0.014513497,-0.002770018,-0.01636277
0.049699994,0.002447531,1,0.039140548,0.02685392,-0.001427593,-0.008205658,0.018821592,0.016477378
-0.001841952,0.008231849,1,-0.001317291,0.002010558,0.00890868,0.000167402,-0.0044038,-0.002422195
0.022108944,0.037046129,1,0.016774425,-0.015641095,-0.006598934,-0.003105678,-0.001730541,-0.003001881
-0.036362327,-0.022362758,1,-0.040176567,-0.024677072,-0.006306516,0.015748209,-0.010466467,-0.002307762
-0.009420727,-0.010715514,1,-0.004235854,0.008041622,-0.009569533,-0.000712121,-0.000217808,0.01043989
0.000161156,-0.005805707,1,-0.005013305,0.011023232,-0.00181899,-0.00573239,-0.004602199,0.000863501
0.036482772,0.024147154,1,0.038406419,0.002633645,0.007372297,-0.008091792,0.010623126,0.013764359
